DateTimeHOBO_UTC,Temp_Inc,Light_Inc,,,,,
2/3/2020 4:04,6.95,0, , , , , 
2/3/2020 4:09,6.95,0, , , , , 
2/3/2020 4:14,6.95,0, , , , , 
2/3/2020 4:19,6.95,0, , , , , 
2/3/2020 4:24,6.95,0, , , , , 
2/3/2020 4:29,6.95,0, , , , , 
2/3/2020 4:34,6.99,0, , , , , 
2/3/2020 4:39,6.99,0, , , , , 
2/3/2020 4:44,6.95,0, , , , , 
2/3/2020 4:49,6.9,0, , , , , 
2/3/2020 4:54,6.95,0, , , , , 
2/3/2020 4:59,6.95,0, , , , , 
2/3/2020 5:04,6.9,0, , , , , 
2/3/2020 5:09,6.9,0, , , , , 
2/3/2020 5:14,6.9,0, , , , , 
2/3/2020 5:19,6.9,0, , , , , 
2/3/2020 5:24,6.95,0, , , , , 
2/3/2020 5:29,6.99,0, , , , , 
2/3/2020 5:34,6.9,0, , , , , 
2/3/2020 5:39,6.95,0, , , , , 
2/3/2020 5:44,6.95,0, , , , , 
2/3/2020 5:49,6.99,0, , , , , 
2/3/2020 5:54,6.9,0, , , , , 
2/3/2020 5:59,6.9,0, , , , , 
2/3/2020 6:04,6.95,0, , , , , 
2/3/2020 6:09,6.95,0, , , , , 
2/3/2020 6:14,6.95,0, , , , , 
2/3/2020 6:19,6.95,0, , , , , 
2/3/2020 6:24,6.99,0, , , , , 
2/3/2020 6:29,6.9,0, , , , , 
2/3/2020 6:34,6.99,0, , , , , 
2/3/2020 6:39,6.99,0, , , , , 
2/3/2020 6:44,7.03,0, , , , , 
2/3/2020 6:49,6.9,0, , , , , 
2/3/2020 6:54,6.99,0, , , , , 
2/3/2020 6:59,6.95,0, , , , , 
2/3/2020 7:04,7.03,0, , , , , 
2/3/2020 7:09,6.99,0, , , , , 
2/3/2020 7:14,7.03,0, , , , , 
2/3/2020 7:19,6.99,0, , , , , 
2/3/2020 7:24,6.99,0, , , , , 
2/3/2020 7:29,6.99,0, , , , , 
2/3/2020 7:34,6.99,0, , , , , 
2/3/2020 7:39,7.03,0, , , , , 
2/3/2020 7:44,7.03,0, , , , , 
2/3/2020 7:49,7.03,0, , , , , 
2/3/2020 7:54,7.03,0, , , , , 
2/3/2020 7:59,7.03,0, , , , , 
2/3/2020 8:04,7.03,0, , , , , 
2/3/2020 8:09,6.99,0, , , , , 
2/3/2020 8:14,7.03,0, , , , , 
2/3/2020 8:19,7.03,0, , , , , 
2/3/2020 8:24,7.08,0, , , , , 
2/3/2020 8:29,7.08,0, , , , , 
2/3/2020 8:34,7.03,0, , , , , 
2/3/2020 8:39,7.03,0, , , , , 
2/3/2020 8:44,7.03,0, , , , , 
2/3/2020 8:49,7.08,0, , , , , 
2/3/2020 8:54,7.08,0, , , , , 
2/3/2020 8:59,7.12,0, , , , , 
2/3/2020 9:04,7.08,0, , , , , 
2/3/2020 9:09,7.08,0, , , , , 
2/3/2020 9:14,7.03,0, , , , , 
2/3/2020 9:19,7.03,0, , , , , 
