DateTimeHOBO_UTC,Temp_Inc,Light_Inc,,
2/3/2020 20:48,12.01,"2,835", , 
2/3/2020 20:53,11.92,"2,298", , 
2/3/2020 20:58,11.97,"4,946", , 
2/3/2020 21:03,11.71,"2,192", , 
2/3/2020 21:08,11.67,"1,598", , 
2/3/2020 21:13,11.58,"1,716", , 
2/3/2020 21:18,11.49,"1,713", , 
2/3/2020 21:23,11.54,"1,743", , 
2/3/2020 21:28,11.62,"1,512", , 
2/3/2020 21:33,11.71,"1,285", , 
2/3/2020 21:38,11.79,"1,060", , 
2/3/2020 21:43,12.1,894, , 
2/3/2020 21:48,12.7,692, , 
2/3/2020 21:53,13.17,543, , 
2/3/2020 21:58,13.38,364, , 
2/3/2020 22:03,13.55,229, , 
2/3/2020 22:08,13.64,142, , 
