cruise,cast,niskin,niskin_second_cast,station,date_time_utc_sampling,date_time_utc_start,date_time_utc_end,latitude,longitude,depth,temperature_sampling,incubation_tank,temperature_incubation_avg,temperature_incubation_std,T0_TF,dilution,nutrient_treatment,light_level,replicate_bottle,replicate_chl,filter_size,vol_filtered,vol_extracted,Fs,r,fo,fa,blank,blank_acid,fo_blank,fa_blank,fo_fa,chl,phaeo,iode_quality_flag
en687,2',19-20-21-22',NA,L2,NaN,2022-07-30 03:50:00+00:00,2022-07-31 04:21:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TF,wsw,NoN,65%,b,b,>0&<200,152,6,0.776503022,2.22867365,50.6,28.8,1.03,1.0035,NaN,NaN,NaN,NaN,NaN,NaN
en687,2',19-20-21-22',NA,L2,NaN,2022-07-30 03:50:00+00:00,2022-07-31 04:21:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TF,wsw,NoN,65%,b,c,>0&<200,152,6,0.776503022,2.22867365,51.9,28.9,1.03,1.0035,NaN,NaN,NaN,NaN,NaN,NaN
en687,2',19-20-21-22',NA,L2,NaN,2022-07-30 03:50:00+00:00,2022-07-31 04:21:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TF,wsw,N,65%,a,a,>0&<200,152,6,0.776503022,2.22867365,65.1,35.1,1.03,1.0035,NaN,NaN,NaN,NaN,NaN,NaN
en687,2',19-20-21-22',NA,L2,NaN,2022-07-30 03:50:00+00:00,2022-07-31 04:21:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TF,wsw,N,65%,a,b,>0&<200,152,6,0.776503022,2.22867365,62.3,35.9,1.03,1.0035,NaN,NaN,NaN,NaN,NaN,NaN
en687,2',19-20-21-22',NA,L2,NaN,2022-07-30 03:50:00+00:00,2022-07-31 04:21:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TF,wsw,N,65%,a,c,>0&<200,152,6,0.776503022,2.22867365,61.8,35.5,1.03,1.0035,NaN,NaN,NaN,NaN,NaN,NaN
en687,2',19-20-21-22',NA,L2,NaN,2022-07-30 03:50:00+00:00,2022-07-31 04:21:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TF,wsw,N,65%,b,a,>0&<200,152,6,0.776503022,2.22867365,61.9,35.5,1.03,1.0035,NaN,NaN,NaN,NaN,NaN,NaN
en687,2',19-20-21-22',NA,L2,NaN,2022-07-30 03:50:00+00:00,2022-07-31 04:21:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TF,wsw,N,65%,b,b,>0&<200,152,6,0.776503022,2.22867365,63.2,36,1.03,1.0035,NaN,NaN,NaN,NaN,NaN,NaN
en687,2',19-20-21-22',NA,L2,NaN,2022-07-30 03:50:00+00:00,2022-07-31 04:21:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TF,wsw,N,65%,b,c,>0&<200,152,6,0.776503022,2.22867365,60.6,34.7,1.03,1.0035,NaN,NaN,NaN,NaN,NaN,NaN
en687,2',19-20-21-22',NA,L2,NaN,2022-07-30 03:50:00+00:00,2022-07-31 04:21:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TF,wsw,N,65%,c,a,>0&<200,152,6,0.776503022,2.22867365,57.6,35.8,1.03,1.0035,NaN,NaN,NaN,NaN,NaN,NaN
en687,2',19-20-21-22',NA,L2,NaN,2022-07-30 03:50:00+00:00,2022-07-31 04:21:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TF,wsw,N,65%,c,b,>0&<200,152,6,0.776503022,2.22867365,61.1,35.2,1.03,1.0035,NaN,NaN,NaN,NaN,NaN,NaN
en687,2',19-20-21-22',NA,L2,NaN,2022-07-30 03:50:00+00:00,2022-07-31 04:21:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TF,wsw,N,65%,c,c,>0&<200,152,6,0.776503022,2.22867365,61.3,35,1.03,1.0035,NaN,NaN,NaN,NaN,NaN,NaN
en687,5',10-11-12',NA,L4,NaN,2022-07-30 13:05:00+00:00,2022-07-31 13:25:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,T0,dil,NA,NA,NA,a,>0&<200,152,6,0.776503022,2.22867365,20.5,12,1.05,1.03,NaN,NaN,NaN,NaN,NaN,NaN
en687,5',10-11-12',NA,L4,NaN,2022-07-30 13:05:00+00:00,2022-07-31 13:25:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,T0,dil,NA,NA,NA,b,>0&<200,152,6,0.776503022,2.22867365,19.8,11.6,1.05,1.03,NaN,NaN,NaN,NaN,NaN,NaN
en687,5',10-11-12',NA,L4,NaN,2022-07-30 13:05:00+00:00,2022-07-31 13:25:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,T0,dil,NA,NA,NA,c,>0&<200,152,6,0.776503022,2.22867365,NaN,NaN,1.05,1.03,NaN,NaN,NaN,NaN,NaN,NaN
en687,5',10-11-12',NA,L4,NaN,2022-07-30 13:05:00+00:00,2022-07-31 13:25:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,T0,dil,NA,NA,NA,a,>10&<200,152,6,0.776503022,2.22867365,5.35,3.35,1.05,1.03,NaN,NaN,NaN,NaN,NaN,NaN
en687,5',10-11-12',NA,L4,NaN,2022-07-30 13:05:00+00:00,2022-07-31 13:25:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,T0,dil,NA,NA,NA,b,>10&<200,152,6,0.776503022,2.22867365,4.97,3.26,1.05,1.03,NaN,NaN,NaN,NaN,NaN,NaN
