cruise,cast,niskin,niskin_other_method,date_time_utc_sampling,date_time_utc_start,date_time_utc_end,latitude,longitude,depth,T0_TF,dilution,nutrient_treatment,light_level,replicate_bottle,replicate_chl,filter_size,vol_filtered,vol_extracted,Fs,r,fo,fa,blank,blank_acid,fo_blank,fa_blank,fo_fa,chl,phaeo,iode_quality_flag,nearest_station,distance
en661,13',16-17',,,2/6/2021 17:00,2/7/2021 18:12,,,,TF,dil,N,65%,a,a,>0&<200,152,6,0.813376915,2.21629417,66.3,37.3,0.9165,0.899,,,,,,,,
en661,13',16-17',,,2/6/2021 17:00,2/7/2021 18:12,,,,TF,dil,N,65%,a,b,>0&<200,152,6,0.813376915,2.21629417,62,35.5,0.9165,0.899,,,,,,,,
en661,13',16-17',,,2/6/2021 17:00,2/7/2021 18:12,,,,TF,dil,N,65%,a,c,>0&<200,152,6,0.813376915,2.21629417,60.2,34.5,0.9165,0.899,,,,,,,,
en661,13',16-17',,,2/6/2021 17:00,2/7/2021 18:12,,,,TF,dil,N,65%,b,a,>0&<200,152,6,0.813376915,2.21629417,56.7,33.5,0.9165,0.899,,,,,,,,
en661,13',16-17',,,2/6/2021 17:00,2/7/2021 18:12,,,,TF,dil,N,65%,b,b,>0&<200,152,6,0.813376915,2.21629417,59,35.1,0.9165,0.899,,,,,,,,
en661,13',16-17',,,2/6/2021 17:00,2/7/2021 18:12,,,,TF,dil,N,65%,b,c,>0&<200,152,6,0.813376915,2.21629417,66.1,36.8,0.9165,0.899,,,,,,,,
en661,13',16-17',,,2/6/2021 17:00,2/7/2021 18:12,,,,TF,wsw,NoN,65%,a,a,>0&<200,152,6,0.813376915,2.21629417,241,120,0.9165,0.899,,,,,,,,
en661,13',16-17',,,2/6/2021 17:00,2/7/2021 18:12,,,,TF,wsw,NoN,65%,a,b,>0&<200,152,6,0.813376915,2.21629417,189,116,0.9165,0.899,,,,,,,,
en661,13',16-17',,,2/6/2021 17:00,2/7/2021 18:12,,,,TF,wsw,NoN,65%,a,c,>0&<200,152,6,0.813376915,2.21629417,213,117,0.9165,0.899,,,,,,,,
en661,13',16-17',,,2/6/2021 17:00,2/7/2021 18:12,,,,TF,wsw,NoN,65%,b,a,>0&<200,152,6,0.813376915,2.21629417,225,113,0.9165,0.899,,,,,,,,
en661,13',16-17',,,2/6/2021 17:00,2/7/2021 18:12,,,,TF,wsw,NoN,65%,b,b,>0&<200,152,6,0.813376915,2.21629417,212,114,0.9165,0.899,,,,,,,,
en661,13',16-17',,,2/6/2021 17:00,2/7/2021 18:12,,,,TF,wsw,NoN,65%,b,c,>0&<200,152,6,0.813376915,2.21629417,205,108,0.9165,0.899,,,,,,,,
en661,13',16-17',,,2/6/2021 17:00,2/7/2021 18:12,,,,TF,wsw,N,65%,a,a,>0&<200,152,6,0.813376915,2.21629417,220,120,0.9165,0.899,,,,,,,,
en661,13',16-17',,,2/6/2021 17:00,2/7/2021 18:12,,,,TF,wsw,N,65%,a,b,>0&<200,152,6,0.813376915,2.21629417,227,112,0.9165,0.899,,,,,,,,
